epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3278.68,0.4096,0.56664,1.10156,0.76485,0.76471,0.82727,0.68077,0.71073,0.83153,0.93491,0.000614,0.000614,0.000614
72,3325.61,0.40726,0.56531,1.08819,0.76743,0.78566,0.84235,0.69314,0.6948,0.77693,0.92331,0.0005942,0.0005942,0.0005942
73,3372.64,0.39729,0.54718,1.08794,0.75017,0.78222,0.82823,0.6766,0.74654,0.83578,0.96953,0.0005744,0.0005744,0.0005744
74,3420.05,0.40073,0.54862,1.08575,0.73601,0.7619,0.8237,0.667,0.69933,0.81995,0.93712,0.0005546,0.0005546,0.0005546
75,3465.26,0.39999,0.54585,1.09521,0.7717,0.77031,0.83517,0.68483,0.69619,0.81057,0.93668,0.0005348,0.0005348,0.0005348
76,3511.93,0.3946,0.54146,1.09037,0.76907,0.76751,0.81602,0.65848,0.76058,0.84718,0.97901,0.000515,0.000515,0.000515
77,3559.39,0.38599,0.52647,1.07415,0.84665,0.72829,0.84527,0.69007,0.75534,0.79069,0.9862,0.0004952,0.0004952,0.0004952
78,3604.09,0.38979,0.53066,1.07793,0.80036,0.77311,0.83871,0.67708,0.73631,0.79924,0.94263,0.0004754,0.0004754,0.0004754
79,3650.83,0.37351,0.51546,1.0759,0.82198,0.77604,0.84188,0.68617,0.72055,0.77757,0.94254,0.0004556,0.0004556,0.0004556
80,3697.66,0.38656,0.53292,1.07116,0.77407,0.77871,0.83358,0.68691,0.70163,0.81342,0.92975,0.0004358,0.0004358,0.0004358
81,3744.71,0.39746,0.53626,1.08187,0.753,0.76,0.81139,0.66279,0.70377,0.88066,0.93871,0.000416,0.000416,0.000416
82,3792.29,0.3734,0.51313,1.07084,0.77256,0.78021,0.83369,0.68562,0.7205,0.80503,0.94188,0.0003962,0.0003962,0.0003962
83,3838.46,0.38577,0.51345,1.07429,0.78121,0.77591,0.84529,0.69216,0.73322,0.78025,0.97562,0.0003764,0.0003764,0.0003764
84,3885.87,0.3792,0.51035,1.07323,0.80479,0.75063,0.8369,0.69529,0.72978,0.78559,0.95449,0.0003566,0.0003566,0.0003566
85,3932.96,0.39235,0.51914,1.0773,0.81302,0.78711,0.84837,0.69714,0.74548,0.79322,0.95726,0.0003368,0.0003368,0.0003368
86,3979.07,0.36497,0.50158,1.06558,0.75978,0.79552,0.82699,0.68061,0.72651,0.80835,0.94145,0.000317,0.000317,0.000317
87,4026.44,0.3819,0.50939,1.06359,0.78312,0.75859,0.83086,0.68149,0.71535,0.81102,0.94589,0.0002972,0.0002972,0.0002972
88,4072.93,0.37069,0.49844,1.06823,0.83395,0.7619,0.84027,0.68883,0.73088,0.78351,0.96404,0.0002774,0.0002774,0.0002774
89,4120.32,0.37937,0.49804,1.06661,0.79073,0.77031,0.83063,0.68678,0.71943,0.80612,0.94606,0.0002576,0.0002576,0.0002576
90,4167.44,0.37266,0.49272,1.06319,0.7903,0.77591,0.83794,0.69399,0.73075,0.81128,0.9718,0.0002378,0.0002378,0.0002378
91,4213.16,0.44224,0.55209,1.15302,0.78218,0.76446,0.8327,0.6807,0.74111,0.80711,0.96391,0.000218,0.000218,0.000218
92,4258.24,0.41949,0.47298,1.13044,0.78897,0.7591,0.82746,0.67988,0.72206,0.79933,0.95218,0.0001982,0.0001982,0.0001982
93,4302.33,0.41261,0.45638,1.11793,0.80373,0.78151,0.8413,0.69215,0.74522,0.77137,0.95351,0.0001784,0.0001784,0.0001784
94,4347.05,0.40832,0.44739,1.11489,0.81594,0.7451,0.83614,0.68134,0.75467,0.79716,0.9719,0.0001586,0.0001586,0.0001586
95,4390.6,0.40526,0.44959,1.11778,0.81442,0.76213,0.84312,0.69271,0.74713,0.77916,0.97287,0.0001388,0.0001388,0.0001388
96,4434.7,0.4012,0.44504,1.11741,0.81858,0.75834,0.84398,0.69683,0.72388,0.77423,0.95679,0.000119,0.000119,0.000119
97,4479.25,0.39888,0.42572,1.1132,0.77796,0.78992,0.84372,0.69099,0.72572,0.78149,0.95994,9.92e-05,9.92e-05,9.92e-05
98,4523.33,0.40219,0.41988,1.11415,0.82241,0.7563,0.85115,0.68921,0.72652,0.77967,0.95798,7.94e-05,7.94e-05,7.94e-05
99,4568.08,0.39117,0.41783,1.10759,0.82397,0.76047,0.84621,0.69038,0.72847,0.78962,0.96125,5.96e-05,5.96e-05,5.96e-05
100,4612.23,0.39001,0.41665,1.10192,0.80326,0.77871,0.84919,0.69398,0.72353,0.78783,0.95433,3.98e-05,3.98e-05,3.98e-05
